startIntersectionID,endIntersectionID,cost,time
10997,10999,46.8283,0.0
10997,10910,17.5971,0.0
10997,10953,32.671898,0.0
10998,10963,23.207,0.0
10998,10962,13.5627,0.0
10999,10997,18.1496,0.0
10999,11017,28.117949,0.0
10999,11001,32.121147,0.0
10999,11000,22.2444,0.0
6873,6862,24.5377,0.0
6873,6931,27.776001,0.0
6873,6808,24.0121,0.0
10990,10942,14.22085,0.0
10990,10949,22.4326,0.0
10990,11056,32.32035,0.0
10990,10994,26.8725,0.0
6874,7023,78.16545,0.0
6874,6887,42.2529,0.0
6874,6861,69.197495,0.0
6874,6844,36.2254,0.0
6874,6827,34.48245,0.0
6874,6823,61.467102,0.0
10991,11056,25.245602,0.0
10991,10994,19.797749,0.0
10991,10987,46.22375,0.0
10991,10986,20.489096,0.0
6871,6897,10.923495,0.0
6871,6839,13.93204,0.0
6871,6937,16.522644,0.0
6872,6897,14.6654005,0.0
6872,6783,14.48075,0.0
6872,6937,20.26455,0.0
10992,11007,56.7353,0.0
10992,10936,23.85745,0.0
10992,11010,51.95965,0.0
10992,10993,42.211998,0.0
10993,10944,22.13655,0.0
10993,10945,18.922401,0.0
10993,11039,38.61685,0.0
10993,10992,36.478554,0.0
10993,11031,32.14145,0.0
6870,6820,12.360515,0.0
10994,10948,26.05045,0.0
10994,10952,17.103806,0.0
10994,10949,19.875349,0.0
10994,10990,33.285652,0.0
10994,10991,41.99985,0.0
10995,11143,72.094894,0.0
10995,10964,20.375635,0.0
10996,10939,19.83095,0.0
10996,11143,90.953354,0.0
531,452,21.153301,0.0
531,570,41.67695,0.0
531,538,70.03475,0.0
530,532,22.130135,0.0
530,529,29.084599,0.0
530,589,26.281935,0.0
530,528,20.03925,0.0
2951,2972,31.15855,0.0
2951,2819,82.83795,0.0
2951,3014,30.89625,0.0
6869,6967,30.7594,0.0
6869,6867,25.905048,0.0
2950,2874,58.604347,0.0
2950,2875,50.3996,0.0
2950,2972,24.276901,0.0
2950,3014,24.014599,0.0
6868,6842,20.9134,0.0
6867,6869,25.905048,0.0
6867,6833,29.1056,0.0
6867,6996,28.91765,0.0
6867,6834,26.5516,0.0
2953,2891,22.7015,0.0
2953,2995,37.2888,0.0
2953,2968,14.246466,0.0
1821,1955,17.91556,0.0
1821,1885,15.65266,0.0
1821,1777,44.266712,0.0
1821,1776,13.69606,0.0
535,536,14.2458105,0.0
535,525,5.561565,0.0
535,576,7.90221,0.0
6866,6691,23.053051,0.0
6866,6692,42.058197,0.0
6866,6875,38.3655,0.0
2952,2971,53.160202,0.0
2952,2905,20.326466,0.0
2952,2906,11.462115,0.0
2952,3069,24.0798,0.0
1822,1955,36.75815,0.0
1822,1885,34.49525,0.0
1822,1788,32.02405,0.0
534,429,47.3219,0.0
534,428,61.43635,0.0
534,558,72.80511,0.0
534,617,149.9375,0.0
6865,6763,23.09415,0.0
6865,6979,26.2386,0.0
6865,6961,26.33805,0.0
2955,2897,15.71372,0.0
2955,2956,9.875315,0.0
533,558,36.15271,0.0
533,501,9.822249,0.0
533,617,113.285095,0.0
6864,6979,32.1619,0.0
6864,6768,23.329899,0.0
6864,6961,32.261353,0.0
6864,6767,19.71075,0.0
2954,2966,13.40045,0.0
2954,2918,11.97485,0.0
2954,2995,32.486,0.0
2954,2968,9.443665,0.0
1820,1860,13.9495,0.0
1820,1758,44.552597,0.0
1820,1757,35.2412,0.0
532,530,33.95625,0.0
532,608,33.36335,0.0
2957,2975,54.6619,0.0
2957,2793,48.8676,0.0
2957,3066,52.89695,0.0
2957,2794,47.289,0.0
1825,1860,7.389305,0.0
1825,1823,14.0401,0.0
1825,1824,17.49905,0.0
539,493,24.192,0.0
538,531,21.358051,0.0
2956,2955,24.85585,0.0
2956,2958,6.6855497,0.0
2956,2979,25.054401,0.0
1826,1859,26.7659,0.0
1826,1687,17.50463,0.0
1826,2074,44.5876,0.0
537,545,13.66525,0.0
537,554,15.8885,0.0
537,496,18.1157,0.0
537,550,10.81611,0.0
2959,2927,15.205101,0.0
2959,2928,31.48705,0.0
2959,3011,37.2472,0.0
1823,1825,34.757107,0.0
1823,1814,26.19165,0.0
536,535,7.4481955,0.0
536,501,16.13668,0.0
2958,2924,12.481251,0.0
2958,3011,24.055285,0.0
2958,2956,19.59745,0.0
1824,1825,4.14219,0.0
1824,1768,12.501125,0.0
1829,1781,10.158205,0.0
1829,1782,8.682455,0.0
1829,1943,42.633003,0.0
1829,1828,13.7706,0.0
1827,1859,49.83585,0.0
1827,1767,22.2441,0.0
1827,2074,67.65755,0.0
1828,1856,14.48565,0.0
1828,1829,18.727705,0.0
1828,1846,13.6775,0.0
6882,6892,16.06429,0.0
6882,6880,10.22604,0.0
6882,6881,14.65024,0.0
6883,6884,11.065775,0.0
6883,6911,16.327099,0.0
6884,6879,10.201325,0.0
6884,6957,16.948675,0.0
6884,6883,12.149324,0.0
6884,6910,7.214525,0.0
6885,6886,40.53685,0.0
6885,7083,48.588448,0.0
6885,6708,43.3511,0.0
6885,6981,55.66505,0.0
6885,6677,47.6356,0.0
6880,6888,8.09191,0.0
6880,6876,32.84775,0.0
6880,6875,8.953976,0.0
6880,6882,10.22604,0.0
6881,6875,17.539299,0.0
6881,6882,9.539665,0.0
6881,6890,8.480286,0.0
3,7,22084.2,0.0
3,32,22086.93,0.0
540,669,28.20175,0.0
540,521,14.555044,0.0
540,545,13.0053005,0.0
2940,3060,48.95305,0.0
2940,2934,20.88498,0.0
2940,2941,21.0655,0.0
2940,2933,47.16733,0.0
2,6,44711.047,0.0
2,35,101099.95,0.0
6879,6878,25.1378,0.0
6879,6852,8.376875,0.0
6879,6884,18.856674,0.0
1,21,98554.5,0.0
1,12,60248.0,0.0
542,499,37.1753,0.0
541,482,24.9975,0.0
541,483,44.144447,0.0
7,98,49.29705,0.0
7,3,22102.477,0.0
7,43,41.58985,0.0
7,4,60.407753,0.0
544,546,16898.797,0.0
544,551,16898.645,0.0
544,577,134346.75,0.0
2944,2943,52.44375,0.0
2944,2926,45.4602,0.0
2944,2949,25.1541,0.0
6876,6889,21.742699,0.0
6876,6850,44.73515,0.0
6876,6851,53.25625,0.0
6876,6880,21.27785,0.0
6,98,13221.897,0.0
6,2,44711.047,0.0
6,43,13214.19,0.0
