ID,x,y
10997,263.40372,580.71484
10998,272.27945,582.5149
10999,262.25854,583.88513
6873,390.0385,386.96515
6874,365.3144,386.6284
10990,315.732,581.4813
6871,98.72534,389.9729
10991,314.222,582.9445
6872,97.09569,388.76514
10992,288.54706,581.1793
10993,284.64078,581.8297
10994,317.12738,581.5742
6870,431.37616,386.87225
10995,234.20908,582.7936
10996,230.60744,582.1897
531,242.04117,92.078705
530,197.16495,95.89935
6869,263.01788,388.57935
2951,251.12141,198.30194
6868,255.0342,387.99872
2950,257.1128,199.93936
535,311.57184,94.97034
6867,267.4427,388.44
2953,277.32147,200.51999
1821,285.11438,151.97806
534,299.42737,90.743225
1822,282.26703,152.25677
2952,300.46014,200.53162
6866,237.82086,385.52515
533,305.96634,94.16901
2955,293.52814,200.53162
6865,279.58282,386.9071
532,202.20914,95.701935
1820,209.61331,152.3613
2954,276.01672,201.44904
6864,281.92905,386.96515
539,232.92029,94.517426
1825,212.20828,153.38321
2957,345.22974,197.12903
538,239.3548,95.64389
1826,439.972,149.3187
2956,291.86365,201.53033
537,335.45398,93.70453
1823,214.78732,153.2555
2959,288.3106,201.73935
536,310.5137,94.134186
1824,212.64708,152.43097
2958,290.1941,201.61163
1829,258.2043,152.41937
1827,436.5168,150.6774
1828,260.2684,152.66324
6882,238.23209,389.74066
6883,107.32331,390.00775
6884,105.4021,390.85547
6885,396.7508,384.43353
6880,237.78534,389.6942
6881,238.11096,389.50836
2940,224.1497,201.95999
540,329.73965,94.62192
3,316.15192,13.354828
6879,102.96884,389.9845
2,319.40396,12.576752
542,354.38763,93.716125
1,420.99988,10.846466
541,359.9765,92.75226
6876,233.5839,389.11356
2944,328.29346,201.1471
544,101.44217,96.51486
7,319.4163,16.885162
6875,237.66422,389.4619
2943,332.0351,196.3742
543,95.437744,96.09677
6,322.66833,16.107086
6878,104.076324,388.7768
2942,377.4422,200.69418
1810,156.69614,146.35739
546,99.53256,96.75873
5,306.8954,13.738037
6877,468.63138,387.23224
2941,227.18057,201.7858
1811,156.5685,153.06967
545,333.00623,94.99356
4,313.41403,15.874847
2948,335.0841,198.22064
1812,313.6142,152.01291
548,342.44186,95.17938
2947,412.56873,200.75226
1813,311.14758,151.64127
547,98.7899,97.21161
2946,416.3923,198.05807
1814,217.80223,151.64133
9,304.69788,17.233551
2945,368.50336,197.77936
1815,251.22078,152.12906
549,147.8233,93.449066
8,310.0307,17.04776
1816,248.63016,151.78067
1817,302.4104,152.14062
1818,275.48364,151.73419
1819,273.30133,152.3613
2949,333.38843,201.50711
6891,201.66664,387.72003
6892,241.26804,390.08905
2980,246.21866,203.41162
6890,238.21832,389.91486
6895,404.08826,384.93292
6896,400.1327,388.97418
6893,477.82043,387.96387
6894,475.23196,386.39612
513,212.18799,92.9729
1843,279.65533,152.62842
2975,348.286,202.04129
6889,237.77155,389.8684
512,216.66211,94.70322
1844,277.4288,153.1626
2974,351.7491,201.35614
6888,238.02104,389.90323
511,222.91605,91.010315
1841,160.2521,145.9974
2977,271.3395,200.58969
6887,371.63284,387.04645
510,186.31505,94.20389
1842,159.75891,153.87094
2976,274.27393,202.81937
6886,393.85266,388.50967
2971,304.7247,202.23871
1840,223.49553,151.96646
2970,309.22858,201.15872
2973,246.53125,198.91742
2972,251.50508,202.6684
519,252.76703,91.40518
1849,291.30157,151.51358
518,324.0014,93.8555
517,221.62508,94.73807
1847,421.7868,152.17548
2979,294.529,202.5058
516,223.91255,91.19614
1848,199.76212,152.73291
2978,296.1797,200.92645
515,397.29477,92.40387
1845,267.03726,152.30322
514,401.1234,88.35098
1846,264.30447,152.94193
522,209.50017,95.17935
1830,368.64264,148.94705
2966,275.36688,201.6813
6898,94.632706,389.39227
521,327.15338,94.18063
1831,365.6393,151.88513
2965,369.60724,201.55353
6897,96.754814,391.19226
524,308.6875,93.97159
1832,450.76892,148.91226
2964,371.22675,201.20514
523,205.36328,91.59097
1833,427.1617,147.57678
2963,445.25986,197.28
6899,245.48035,388.5213
2962,422.4533,201.1239
2961,428.88855,198.42969
520,92.00799,93.75098
2960,199.44589,201.89032
1838,313.7832,152.39615
529,194.23273,95.87613
1839,312.11655,152.69806
526,190.75945,92.647736
1834,174.25179,149.4697
525,312.08533,93.97162
1835,325.5846,150.29419
2969,275.61493,202.65677
528,195.45479,92.04385
1836,180.14526,151.50195
2968,276.26477,202.4245
527,190.38376,95.2955
1837,185.0531,152.17548
2967,435.81915,201.28647
571,239.80518,96.87485
10950,383.12607,576.662
570,242.54666,96.78192
10952,319.27124,580.1342
10951,378.83105,578.3458
10954,256.54056,577.92773
10953,259.99786,579.1703
10956,323.7403,576.6619
10955,292.02902,580.02966
10958,247.53935,579.6697
10957,321.6769,580.32
10959,243.69113,579.7742
574,148.74655,95.132935
2992,235.281,202.38968
575,138.25421,98.256805
2993,234.1982,204.81677
2994,285.9412,203.02838
572,338.6698,96.81677
2995,280.9086,203.50452
573,259.02673,96.085175
2996,465.0638,203.10968
578,417.33298,96.81677
2997,461.76245,199.97418
579,415.2979,73.13806
2998,357.56354,202.63354
576,311.10913,96.43356
2999,398.32172,199.16129
577,119.425,97.50195
10963,271.0291,576.6155
2991,261.61523,202.73804
580,419.55008,86.53934
10962,275.4568,579.7858
2990,231.83893,203.04001
10961,420.66553,578.6129
582,399.07962,95.2955
10960,424.80243,576.6503
581,421.4249,96.79355
10967,331.30695,577.20776
10966,368.36627,575.8839
10965,375.20404,578.83356
10964,236.41385,579.6929
10969,398.2753,577.56775
10968,327.25854,580.72644
2989,465.45328,198.98709
2983,451.80023,201.8787
583,258.18835,98.15225
2984,272.0169,203.55096
584,269.78818,95.59741
2981,242.61484,201.00775
585,263.48276,98.140656
2982,454.0899,200.46191
586,342.19525,96.45679
2987,238.4852,201.54196
587,340.96667,97.51355
2988,215.7309,202.93549
588,135.67737,98.74454
2985,268.78223,201.54193
589,198.06935,97.4787
2986,241.46748,204.07358
10972,407.73853,579.85547
10971,411.57513,577.48645
10974,334.83823,581.2722
10973,338.80542,579.0774
10970,393.33337,578.7755
10979,346.37274,579.1471
10976,297.9856,581.3303
10975,304.41937,580.62195
10978,441.0345,580.08777
1809,229.73131,150.47998
10977,443.9,577.39355
1808,327.3811,149.9574
8900,217.76016,477.15094
1807,360.96503,151.33936
8901,377.49658,476.6168
1806,362.62512,148.14581
8902,232.16022,477.0813
1805,261.75156,151.44388
8903,230.42538,476.76773
1804,232.62582,151.52515
8904,235.5907,474.75873
1803,314.11752,149.15616
8905,398.19553,472.54065
1802,316.669,150.42197
558,303.60492,95.934204
8906,222.60562,477.48773
1801,317.1571,150.86325
559,227.02754,95.80646
8907,220.02371,478.24255
1800,257.47906,151.95483
556,136.70361,97.73422
8908,265.74048,475.66452
557,306.32608,95.736786
8909,246.41956,476.3729
554,335.7542,95.65549
555,232.33282,97.037415
552,100.73867,97.79224
553,338.79163,93.17032
550,334.01508,95.56259
551,102.64828,97.54837
10985,424.0569,580.9355
10984,427.86377,578.6245
10983,348.79077,582.24774
560,224.55005,96.16647
10982,349.34198,579.37933
10981,443.64032,581.2258
10980,342.22717,581.7832
10989,444.7166,581.6671
8920,262.14755,478.40515
10988,446.08304,578.1019
10987,308.57294,582.48
10986,312.9709,581.2722
8912,266.87698,478.0684
8913,454.29224,473.15613
8910,269.28195,477.51096
8911,268.9875,473.9574
8916,361.05853,473.17935
569,163.60933,94.87744
8917,265.14215,478.1845
8914,396.92993,477.10452
8915,394.75055,472.64514
565,314.25897,95.852905
566,365.326,94.366425
8918,262.99176,476.55872
567,364.16632,96.51483
8919,256.99603,477.56903
568,170.11273,93.69293
561,393.96875,93.78583
562,363.14877,94.064514
563,361.6163,96.51483
564,316.8039,94.99353
8929,223.59416,478.44
8928,402.03433,477.31354
8927,406.46783,473.17935
8926,239.54773,475.43225
8925,246.84456,478.50967
8924,248.74545,477.11612
8923,222.49393,478.67224
8922,465.98853,470.10193
8921,306.99042,475.56
8930,271.54187,477.9058
8931,227.99939,477.61548
1894,303.99072,153.84775
1895,250.87411,154.37033
1892,233.81741,155.29935
1893,305.9395,155.04388
1898,306.51318,155.28775
1899,123.76641,152.8258
1896,147.18144,154.3703
1897,307.97388,155.05548
8937,230.93161,478.74194
8936,300.8322,475.87354
8939,308.68243,478.5097
8938,310.69647,476.28003
8933,241.92366,476.26837
8932,305.60297,478.46323
8935,272.03503,478.91614
8934,239.5847,479.05548
8940,282.4251,478.05676
8941,302.38428,478.7071
8942,227.30966,479.40387
6801,246.94174,382.5755
6800,245.56665,382.54065
6803,347.54114,385.5484
6802,351.81512,383.45807
6805,192.03445,383.9342
6804,196.99814,385.96646
8946,229.78787,479.5084
6807,104.92633,375.88647
8945,266.7334,478.67227
6806,111.812675,387.1858
8944,269.46036,479.10193
6809,100.5385,386.07098
8943,225.622,478.73032
6808,389.0246,382.63354
8949,414.75757,473.72516
8948,273.79306,479.13678
8947,228.28296,479.45032
8952,232.23419,479.5432
8953,209.31451,479.65936
8950,410.36902,477.96387
8951,233.46278,477.88257
6812,354.4616,385.96646
6811,357.5788,381.8671
6810,256.447,383.05164
6816,102.403145,387.58063
6815,453.4662,385.1303
6814,458.72577,384.71225
6813,428.10236,383.9342
8955,292.25964,478.08002
8954,296.58655,479.10193
6819,98.17923,387.66193
8957,311.6792,479.0671
6818,100.15701,388.20773
8956,313.7085,476.83743
6817,100.89025,388.1845
8959,264.44012,479.6013
8958,228.45123,479.8684
8960,281.11166,479.4271
8961,277.85962,479.56647
8962,261.22864,479.94968
8963,260.52734,479.2413
8964,281.68243,479.48517
2914,200.17477,199.71869
1868,204.60104,155.1484
2915,312.93317,194.9458
1867,310.77844,153.76645
8969,222.41199,479.7174
2912,304.964,199.45163
1869,200.45255,154.78839
2913,451.85828,195.79355
2918,275.04633,199.6955
6828,365.3144,386.6284
8967,282.22565,479.5084
2919,216.22261,200.49677
6829,169.02557,386.61676
8968,282.02405,479.93808
2916,310.9242,199.88132
8965,422.5904,474.24774
2917,211.98999,200.24127
8966,418.40707,478.57935
1860,209.85483,154.14969
6824,222.78186,384.53806
6825,217.61584,387.0
1862,297.3611,151.0026
6826,344.10196,386.05936
1861,162.98053,155.13678
6827,368.42938,382.5755
1864,373.1501,152.98837
2910,466.60715,195.25937
6820,429.12354,385.74582
1863,378.51993,147.47226
2911,309.61078,196.43228
6821,430.88086,385.85034
1866,358.97272,152.54712
6822,362.77814,382.20386
1865,230.13963,154.33548
6823,359.87857,386.29163
6830,164.28308,386.26837
8975,226.68086,480.08902
8974,227.61646,480.36774
8973,284.1817,480.01935
8972,456.17285,476.84903
8971,343.21716,470.8103
8970,352.5099,478.5329
505,319.2589,93.34451
1859,442.6431,152.26837
2901,297.30164,197.40775
506,369.99524,85.134186
1858,319.9254,151.90839
2902,295.17883,198.95227
503,90.50235,94.482574
1857,161.99634,154.71869
2903,217.10162,197.17548
504,227.80939,93.51871
1856,261.86395,153.15097
2904,213.49345,198.58063
509,258.1695,91.20776
2905,301.72864,195.6542
8976,341.69266,479.69418
2906,298.68835,199.04517
8977,340.8499,477.38324
507,365.96713,92.729004
2907,236.73734,199.19614
6839,99.80888,388.8697
8978,287.87976,480.17032
508,266.0168,92.74066
2908,167.61203,193.97034
8979,461.9365,477.95227
