ID,x,y
6873,234.21269,540.55743
6874,295.37537,422.59357
6871,417.09003,535.35486
6872,231.60466,209.72903
6870,383.85132,208.45163
531,403.3492,281.72903
530,409.45157,194.7716
6869,382.51828,208.59097
2951,164.30339,176.16772
6868,269.2602,539.02454
2950,300.50873,254.94968
6867,210.4024,207.68518
2953,168.14438,164.7174
1821,296.6707,391.42453
535,228.83707,194.05157
6866,212.78125,209.19482
2952,167.14496,175.44775
1822,306.18317,283.54065
534,317.79172,477.19745
6865,351.21313,208.21936
2955,362.7419,166.92389
533,317.25647,480.58838
6864,226.44516,485.39612
2954,300.14902,170.38452
1820,196.35266,287.0942
532,407.20325,280.68387
2957,166.2587,167.73676
1825,324.74115,142.25806
539,447.46103,147.1355
2956,429.5819,173.38068
1826,464.09558,390.0542
538,185.49695,274.52902
2959,168.81017,174.98322
1823,172.48143,136.49805
537,174.17418,282.9135
2958,292.4772,254.3226
1824,219.13454,139.51746
536,358.57455,193.3316
1829,433.69266,139.14581
1827,464.75558,389.63614
1828,356.02164,139.47095
6882,179.32645,374.84128
6883,239.01538,209.56644
6884,240.55437,209.40387
6885,379.30682,539.6516
6880,295.53055,538.62964
6881,476.9443,421.15356
2940,386.03003,173.17163
540,450.08212,153.98706
3,273.7597,581.2258
6879,214.4392,209.7987
2,270.7992,583.8039
542,465.9073,281.03226
1,264.87817,583.85034
541,467.61743,272.7639
0,261.92926,577.57935
6876,424.1787,537.0968
2944,312.39285,328.55228
544,423.68265,279.4529
7,315.59274,583.06067
6875,294.34695,424.7071
2943,457.52615,328.1574
543,416.54025,281.31097
6,388.8353,385.61804
6878,473.46594,422.5471
2942,402.30487,327.57678
1810,279.0454,139.6568
546,377.30658,194.8645
5,391.24173,388.31226
6877,476.15524,423.2903
2941,262.52686,313.8271
1811,203.23248,140.33032
545,414.62558,278.70966
4,259.6389,583.92
2948,199.21744,250.02582
1812,276.8377,392.60904
548,433.25464,150.61932
2947,379.74344,253.46323
1813,208.8431,561.391
547,433.73767,154.03357
2946,457.24768,325.97418
1814,415.7149,559.951
9,362.48224,386.4542
2945,405.5105,326.5084
1815,435.88297,391.1458
549,220.18181,282.72775
8,315.87122,579.9019
1816,437.8963,390.30966
1817,427.67737,390.6813
1818,111.63063,392.44644
2949,376.14038,166.76129
1819,357.4446,284.53937
6891,478.98083,421.96646
6892,481.69186,423.03482
6890,432.5932,245.93805
2980,203.01926,133.33936
6895,318.7186,424.08
6896,451.82562,245.7987
6893,265.77747,377.46582
6894,266.06903,378.3484
6889,432.8238,247.09933
2975,425.37247,169.82709
1843,302.1928,140.8645
513,274.8795,386.08258
6888,238.08849,378.06967
2974,211.13347,250.00256
1844,208.83293,142.1419
512,453.4154,382.94708
6887,338.8997,248.1445
2977,283.66385,131.82965
1841,143.29695,370.03354
511,432.18414,381.66968
6886,187.52913,376.35095
2976,245.60944,253.5097
1842,329.0231,137.26453
510,418.40997,152.54712
2971,235.27737,251.8374
2970,357.3677,242.64001
1840,159.17726,391.51743
2973,267.80676,170.80261
2972,168.51425,171.59222
1849,262.87933,139.23871
519,105.25414,385.59485
518,418.99744,148.87738
2979,321.00317,463.3316
1847,260.2162,139.35486
517,417.3424,152.73291
2978,253.39005,127.34711
1848,454.74408,285.07355
516,267.02493,381.2284
1845,323.7287,137.75226
515,150.96295,154.4284
1846,240.63416,142.74579
514,155.04327,154.91614
6898,450.2881,423.10452
2966,399.87378,166.22711
1830,419.86774,390.24
522,292.02466,480.65805
6897,445.81467,422.89548
2965,265.76297,253.23096
1831,183.41982,131.52777
521,261.6435,379.60257
2964,214.09106,249.58453
1832,450.49695,389.47354
524,465.3967,186.61932
6899,482.20825,422.0129
2963,231.95134,175.05292
1833,455.01532,389.47354
523,430.8917,479.49677
2962,357.33148,245.91483
2961,403.33765,166.92389
2960,252.83594,169.8736
520,206.66441,199.32385
1838,304.12488,140.53937
1839,411.62445,389.75226
529,333.17014,475.0374
1834,273.78146,142.3974
526,257.4834,480.58838
2969,232.73317,168.75873
1835,297.10873,139.44775
525,333.2296,480.33292
2968,325.19952,246.91357
1836,168.903,392.56256
528,240.32663,480.82065
2967,177.6453,172.05676
1837,257.36737,139.00647
527,431.4226,470.18323
571,230.00475,381.41418
570,119.4794,380.3458
2992,160.1375,133.40906
574,254.1095,481.1458
2993,273.90186,129.34454
575,239.38817,481.3316
2994,482.71014,462.79742
572,100.62118,389.6826
2995,241.50882,464.63226
573,280.99924,480.93677
2996,241.84389,463.28516
578,281.78543,481.00644
2997,263.96,131.27222
579,287.25388,198.39484
2998,299.84875,128.06714
576,209.14479,481.5174
2999,293.39395,130.04132
577,206.17557,481.169
2991,216.45543,464.609
580,372.2486,194.70197
2990,297.91232,463.28516
582,480.39944,281.52
581,352.40842,192.86707
2989,273.1113,464.09805
2983,400.1842,128.69421
583,479.42325,279.59225
2984,258.7207,464.42322
584,290.45084,198.88257
2981,204.38855,129.2284
585,157.68178,284.09808
2982,246.89024,131.22583
586,165.47105,156.0542
2987,307.08975,464.05164
587,156.87383,275.5974
2988,265.1755,464.16776
588,325.35907,190.82318
2985,258.49588,464.02838
589,163.30399,137.35742
2986,285.69748,464.19098
1809,85.48934,287.32648
1808,430.47687,115.52515
1807,444.51065,140.09808
1806,61.10464,238.59872
1805,79.74383,288.27872
1804,215.35158,139.12256
1803,222.27492,137.82196
1802,224.32451,141.58447
558,385.17566,281.40384
1801,289.17294,137.40387
559,382.50235,279.42966
1800,474.1042,390.4258
556,194.57143,155.61285
