ID,x,y
6873,351.5293,810.8361
6874,443.3282,633.8903
6871,626.00946,803.0322
6872,347.6149,314.59357
6870,576.1216,312.67743
531,605.3859,422.5935
530,614.5449,292.15747
6869,574.1208,312.88647
2951,246.60257,264.25165
6868,404.132,808.53674
2950,451.03287,382.4245
6867,315.79248,311.52777
2953,252.3675,247.07611
1821,445.27234,587.1368
535,343.46103,291.0774
6866,319.36288,313.79224
2952,250.86748,263.17163
1822,459.54962,425.31097
534,476.97284,715.79614
6865,527.135,312.32904
2955,544.4385,250.3858
533,476.1695,720.88257
6864,339.871,728.0942
2954,450.49295,255.57678
1820,294.70523,430.6413
532,611.1704,421.02582
2957,249.53728,251.60516
1825,487.40326,213.38708
539,671.5932,220.70319
2956,644.7585,260.07098
1826,696.55994,585.0813
538,278.41196,411.79352
2959,253.36678,262.47485
1823,258.87698,204.74707
537,261.41763,424.3703
2958,438.97836,381.4839
1824,328.8985,209.27618
536,538.1837,289.99744
1829,650.92834,208.71869
1827,697.5506,584.4542
1828,534.35205,209.20642
6882,269.15063,562.2619
6883,358.7376,314.34967
6884,361.0475,314.10583
6885,569.3007,809.4774
6880,443.56113,807.9445
6881,715.84454,631.73035
2940,579.39154,259.75745
540,675.52716,230.98059
3,410.88528,871.83875
6879,321.8513,314.69806
2,406.44186,875.7058
542,699.2792,421.5484
1,397.55502,875.7755
541,701.84595,409.1458
0,393.129,866.369
6876,636.6488,805.64514
2944,468.86972,492.82843
544,635.9043,419.17938
7,473.6724,874.59094
6875,441.78467,637.06067
2943,686.69995,492.23615
543,625.1843,421.9665
6,583.602,578.4271
6878,710.62396,633.8207
2942,603.8184,491.36517
1810,418.8186,209.48517
546,566.2986,292.29675
5,587.2138,582.4684
6877,714.6603,634.9355
2941,394.02597,470.7406
1811,305.03116,210.49554
545,622.31055,418.0645
4,389.6914,875.88
2948,299.00497,375.03876
1812,415.50507,588.9136
548,650.2709,225.92902
2947,569.95605,380.19482
1813,313.45212,842.0864
547,650.99585,231.05035
2946,686.282,488.9613
1814,623.94556,839.92645
9,544.04877,579.6813
2945,608.62976,489.76257
1815,654.2157,586.71875
549,330.47037,424.0916
8,474.09036,869.8529
1816,657.23755,585.4645
1817,641.89996,586.022
1818,167.54616,588.6697
2949,564.5482,250.14197
1819,536.4878,426.80908
6891,718.9012,632.9497
6892,722.9702,634.55225
6890,649.27814,368.9071
2980,304.71112,200.00903
6895,478.36398,636.12
6896,678.14404,368.69806
6893,398.9048,566.1987
6894,399.3424,567.5226
6889,649.6242,370.649
2975,638.44055,254.74066
1843,453.56046,211.29675
513,412.566,579.1239
6888,357.34647,567.1045
2974,316.88974,375.00385
1844,313.43686,213.21289
512,680.5301,574.42065
6887,508.65372,372.21674
2977,425.75043,197.7445
1841,215.07407,555.0503
511,648.6642,572.5045
6886,281.46204,564.5264
2976,368.63464,380.26453
1842,493.83002,205.89679
510,627.99054,228.82062
2971,353.12726,377.7561
2970,536.3724,363.96002
1840,238.90878,587.2761
2973,401.95056,256.20392
2972,252.92265,257.38837
1849,394.555,208.85803
519,157.9757,578.3923
518,628.8723,223.3161
2979,481.7929,694.99744
1847,390.55786,209.03223
517,626.38824,229.09937
2978,380.31253,191.02063
1848,682.52435,427.6103
516,400.7771,571.8426
1845,485.88364,206.62836
515,226.57994,231.64258
1846,361.16724,214.11871
514,232.70409,232.37415
6898,675.8363,634.6568
2966,600.1696,249.34064
1830,630.1785,585.36
522,438.29913,720.98706
6897,669.1222,634.34326
2965,398.88306,379.84644
1831,275.29437,197.29163
521,392.70013,569.4039
2964,321.3288,374.37677
1832,676.1498,584.2103
524,698.5128,279.92902
6899,723.74524,633.01935
2963,348.13522,262.57935
1833,682.93146,584.2103
523,646.72437,719.2451
2962,536.318,368.87225
2961,605.3685,250.3858
2960,379.48087,254.81036
