startIntersectionID,endIntersectionID,cost,time
6873,6812,10.586,0.0
6873,6537,10.5654,0.0
6873,6642,49.9269,0.0
6874,6875,14.9135,0.0
6874,4594,55.4015,0.0
6874,4610,40.8724,0.0
6874,6709,27.8227,0.0
6871,6687,59.1566,0.0
6871,6952,22.277,0.0
6871,7054,7.15104,0.0
6872,7114,15.3987,0.0
6872,4338,33.0341,0.0
6872,245,32.734,0.0
6870,6869,12.0448,0.0
6870,546,191.155,0.0
6870,6836,33.332,0.0
531,1898,7.63148,0.0
531,532,22.6623,0.0
531,606,24.7359,0.0
530,763,14.8703,0.0
530,127,45.1181,0.0
530,760,31.6093,0.0
530,129,55.3559,0.0
6869,4332,58.7416,0.0
6869,6793,16.6614,0.0
6869,4335,16.1377,0.0
6869,6870,9.16574,0.0
2951,2771,45.362,0.0
2951,2953,160.461,0.0
2951,2952,7.85929,0.0
6868,6757,7.35834,0.0
6868,6935,4.10259,0.0
6868,6669,16.577,0.0
2950,2958,42.7522,0.0
2950,2746,21.7996,0.0
2950,5536,42.2399,0.0
6867,6866,11.8118,0.0
2953,2951,63.5915,0.0
2953,4124,15.9259,0.0
2953,4382,9.81059,0.0
2953,4058,70.0003,0.0
1821,1715,30.2206,0.0
1821,1747,41.1902,0.0
1821,2371,23.7984,0.0
1821,857,33.809,0.0
535,994,14.9249,0.0
535,834,70.8225,0.0
535,86,31.981,0.0
6866,6879,16.8897,0.0
6866,6867,25.0582,0.0
6866,7074,19.7193,0.0
6866,291,22.2765,0.0
2952,2951,34.6223,0.0
2952,2957,101.941,0.0
2952,2959,4.62222,0.0
1822,639,33.8919,0.0
1822,1496,21.0423,0.0
1822,1482,22.4088,0.0
534,7026,29.3766,0.0
534,3592,12.4439,0.0
534,533,21.3373,0.0
6865,6855,29.0183,0.0
6865,7079,26.1995,0.0
6865,156,24.265,0.0
2955,4362,15.7729,0.0
2955,4431,31.039,0.0
2955,2191,48.7578,0.0
533,7026,29.8745,0.0
533,534,16.237,0.0
533,6424,26.6903,0.0
6864,7024,16.0993,0.0
6864,6966,7.44884,0.0
6864,6456,15.1333,0.0
2954,2378,47.5725,0.0
2954,4661,10.0947,0.0
2954,2837,18.4049,0.0
1820,1456,15.3322,0.0
1820,1472,55.231,0.0
1820,679,64.1978,0.0
532,531,17.2453,0.0
532,689,21.0855,0.0
532,704,22.5679,0.0
532,1480,13.529,0.0
2957,4663,6.55204,0.0
2957,2952,24.0279,0.0
2957,4382,26.4937,0.0
1825,1414,5.33635,0.0
1825,1146,26.865,0.0
1825,1845,23.8975,0.0
539,540,67.3048,0.0
539,201,13.5667,0.0
539,1153,47.1088,0.0
2956,2767,31.9911,0.0
1826,2484,47.6966,0.0
1826,2391,26.0323,0.0
1826,1827,4.55189,0.0
